category,count,count_shr,category_id
Layer 1 (L1),11,100.0,layer-1
Smart Contract Platform,8,72.73,layer-1
Ethereum Ecosystem,4,36.36,layer-1
Alleged SEC Securities,4,36.36,layer-1
Cryptocurrency,3,27.27,layer-1
BNB Chain Ecosystem,3,27.27,layer-1
Harmony Ecosystem,2,18.18,layer-1
Exchange-based Tokens,2,18.18,layer-1
Centralized Exchange (CEX),2,18.18,layer-1
Moonriver Ecosystem,2,18.18,layer-1
Cosmos Ecosystem,2,18.18,layer-1
Infrastructure,1,9.09,layer-1
Tezos Ecosystem,1,9.09,layer-1
Algorand Ecosystem,1,9.09,layer-1
Cronos Ecosystem,1,9.09,layer-1
Polygon Ecosystem,1,9.09,layer-1
Protocol,1,9.09,layer-1
Canto Ecosystem,1,9.09,layer-1
Cardano Ecosystem,1,9.09,layer-1
Avalanche Ecosystem,1,9.09,layer-1
Fantom Ecosystem,1,9.09,layer-1
Ethereum Ecosystem,10,100.0,stablecoins
Stablecoins,10,100.0,stablecoins
USD Stablecoin,7,70.0,stablecoins
Polygon Ecosystem,7,70.0,stablecoins
Harmony Ecosystem,6,60.0,stablecoins
Fantom Ecosystem,5,50.0,stablecoins
BNB Chain Ecosystem,5,50.0,stablecoins
Avalanche Ecosystem,5,50.0,stablecoins
Velas Ecosystem,4,40.0,stablecoins
Moonbeam Ecosystem,4,40.0,stablecoins
Arbitrum Ecosystem,4,40.0,stablecoins
Near Protocol Ecosystem,4,40.0,stablecoins
Moonriver Ecosystem,4,40.0,stablecoins
Gnosis Chain Ecosystem,4,40.0,stablecoins
Cronos Ecosystem,4,40.0,stablecoins
Optimism Ecosystem,3,30.0,stablecoins
Metis Ecosystem,3,30.0,stablecoins
Solana Ecosystem,3,30.0,stablecoins
Canto Ecosystem,2,20.0,stablecoins
Finance / Banking,2,20.0,stablecoins
Arbitrum Nova Ecosystem,2,20.0,stablecoins
Mantle Ecosystem,2,20.0,stablecoins
EthereumPoW Ecosystem,1,10.0,stablecoins
ZkSync Ecosystem,1,10.0,stablecoins
Base Ecosystem,1,10.0,stablecoins
Decentralized Finance (DeFi),1,10.0,stablecoins
Alleged SEC Securities,1,10.0,stablecoins
Asset-backed Tokens,1,10.0,stablecoins
Tokenized Gold,1,10.0,stablecoins
Tezos Ecosystem,1,10.0,stablecoins
Cryptocurrency,1,10.0,stablecoins
EUR Stablecoin,1,10.0,stablecoins
XDC Ecosystem,1,10.0,stablecoins
TRY Stablecoin,1,10.0,stablecoins
