,category,count,count_shr
0,Layer 1 (L1),5,100.0
1,Smart Contract Platform,4,80.0
2,Harmony Ecosystem,2,40.0
3,Ethereum Ecosystem,2,40.0
4,Alleged SEC Securities,2,40.0
5,Protocol,1,20.0
6,Infrastructure,1,20.0
7,Cryptocurrency,1,20.0
8,Fantom Ecosystem,1,20.0
9,Moonriver Ecosystem,1,20.0
10,BNB Chain Ecosystem,1,20.0
11,Cronos Ecosystem,1,20.0
12,Cardano Ecosystem,1,20.0
13,Cosmos Ecosystem,1,20.0
14,Centralized Exchange (CEX),1,20.0
15,Exchange-based Tokens,1,20.0
16,Algorand Ecosystem,1,20.0
