,category,count,count_shr
0,Fantom Ecosystem,5,100.0
1,USD Stablecoin,5,100.0
2,Ethereum Ecosystem,5,100.0
3,Stablecoins,5,100.0
4,Polygon Ecosystem,5,100.0
5,Harmony Ecosystem,5,100.0
6,Moonbeam Ecosystem,4,80.0
7,Velas Ecosystem,4,80.0
8,Arbitrum Ecosystem,4,80.0
9,Near Protocol Ecosystem,4,80.0
10,Cronos Ecosystem,4,80.0
11,Moonriver Ecosystem,4,80.0
12,Avalanche Ecosystem,4,80.0
13,Gnosis Chain Ecosystem,4,80.0
14,BNB Chain Ecosystem,4,80.0
15,Metis Ecosystem,3,60.0
16,Optimism Ecosystem,3,60.0
17,Arbitrum Nova Ecosystem,2,40.0
18,Canto Ecosystem,2,40.0
19,Mantle Ecosystem,2,40.0
20,Solana Ecosystem,2,40.0
21,EthereumPoW Ecosystem,1,20.0
22,Tezos Ecosystem,1,20.0
23,Alleged SEC Securities,1,20.0
24,ZkSync Ecosystem,1,20.0
25,Base Ecosystem,1,20.0
26,Decentralized Finance (DeFi),1,20.0
