,category_id,coin_id,year,sd_coin,sd_group_mean,vltlty_ratio,vltlty_rank
10,layer-1,bitcoin,2019,2655.7124800238216,255.73451043424612,10.38464646603358,1.0
15,layer-1,bitcoin-cash,2019,96.24206431842771,255.73451043424612,0.3763358498428911,2.0
35,layer-1,ethereum,2019,50.77502808830596,255.73451043424612,0.19854585914935058,3.0
5,layer-1,binancecoin,2019,8.37418372018118,255.73451043424612,0.032745614606184845,4.0
25,layer-1,cosmos,2019,1.1323927406973602,255.73451043424612,0.004428001284513841,5.0
0,layer-1,algorand,2019,0.4111653623836466,255.73451043424612,0.0016077820771450574,6.0
50,layer-1,tezos,2019,0.3729361353140097,255.73451043424612,0.0014582941296454324,7.0
30,layer-1,crypto-com-chain,2019,0.021567857153359866,255.73451043424612,8.4336905162846e-05,8.0
20,layer-1,cardano,2019,0.018532119696369212,255.73451043424612,7.246624503240109e-05,9.0
45,layer-1,hedera-hashgraph,2019,0.012549816688425952,255.73451043424612,4.907361414427769e-05,10.0
40,layer-1,fantom,2019,0.006714594037954538,255.73451043424612,2.62561123508631e-05,11.0
11,layer-1,bitcoin,2020,4214.210671520302,402.0396197581044,10.482078045083892,1.0
36,layer-1,ethereum,2020,143.0097006057503,402.0396197581044,0.355710466276421,2.0
16,layer-1,bitcoin-cash,2020,56.82606561207457,402.0396197581044,0.14134444174000854,3.0
6,layer-1,binancecoin,2020,6.217136161916806,402.0396197581044,0.015463988762245565,4.0
26,layer-1,cosmos,2020,1.3462496448154355,402.0396197581044,0.00334854969175783,5.0
51,layer-1,tezos,2020,0.6189082547460341,402.0396197581044,0.001539421052876364,6.0
1,layer-1,algorand,2020,0.09954551273833302,402.0396197581044,0.00024760125083748383,7.0
31,layer-1,crypto-com-chain,2020,0.045545755504205206,402.0396197581044,0.00011328673410747122,8.0
21,layer-1,cardano,2020,0.04133265098329982,402.0396197581044,0.00010280740740966894,9.0
41,layer-1,fantom,2020,0.010435468064426585,402.0396197581044,2.5956317615426324e-05,10.0
46,layer-1,hedera-hashgraph,2020,0.010226152253163845,402.0396197581044,2.543568282975848e-05,11.0
12,layer-1,bitcoin,2021,9851.410812311573,1023.2988049713142,9.627110639094056,1.0
37,layer-1,ethereum,2021,1032.523279432599,1023.2988049713142,1.0090144485818524,2.0
17,layer-1,bitcoin-cash,2021,189.23088408465068,1023.2988049713142,0.18492241285276917,3.0
7,layer-1,binancecoin,2021,170.16969863937592,1023.2988049713142,0.16629521876960096,4.0
27,layer-1,cosmos,2021,9.280476226794484,1023.2988049713142,0.009069175280679274,5.0
52,layer-1,tezos,2021,1.4953271361353457,1023.2988049713142,0.001461281034308707,6.0
42,layer-1,fantom,2021,0.8388588804904891,1023.2988049713142,0.0008197594646013531,7.0
22,layer-1,cardano,2021,0.6198034716413763,1023.2988049713142,0.0006056915816087081,8.0
2,layer-1,algorand,2021,0.4459822794810947,1023.2988049713142,0.00043582800772800354,9.0
32,layer-1,crypto-com-chain,2021,0.16633598171490227,1023.2988049713142,0.0001625487891775317,10.0
47,layer-1,hedera-hashgraph,2021,0.10539623999998013,1023.2988049713142,0.00010299654361751616,11.0
13,layer-1,bitcoin,2022,10236.056955562295,1018.4788197242428,10.050338561123684,1.0
38,layer-1,ethereum,2022,780.0337774208739,1018.4788197242428,0.7658811968540211,2.0
18,layer-1,bitcoin-cash,2022,102.78761700073815,1018.4788197242428,0.10092268490037751,3.0
8,layer-1,binancecoin,2022,72.21472199226788,1018.4788197242428,0.07090449069114692,4.0
28,layer-1,cosmos,2022,9.45511443541703,1018.4788197242428,0.009283565109362844,5.0
53,layer-1,tezos,2022,1.0560971166735464,1018.4788197242428,0.0010369357675592006,6.0
43,layer-1,fantom,2022,0.7818140255835829,1018.4788197242428,0.0007676291449980885,7.0
3,layer-1,algorand,2022,0.3360520159890361,1018.4788197242428,0.00032995483998383344,8.0
23,layer-1,cardano,2022,0.3098808417028273,1018.4788197242428,0.00030425850366405145,9.0
33,layer-1,crypto-com-chain,2022,0.1549461670439687,1018.4788197242428,0.00015213489376825825,10.0
48,layer-1,hedera-hashgraph,2022,0.08004038808534972,1018.4788197242428,7.858817143298176e-05,11.0
14,layer-1,bitcoin,2023,3556.3046983592203,347.7293802830484,10.227219498865532,1.0
39,layer-1,ethereum,2023,173.78566327683785,347.7293802830484,0.499772734577038,2.0
19,layer-1,bitcoin-cash,2023,54.570355092042014,347.7293802830484,0.1569334033483805,3.0
9,layer-1,binancecoin,2023,38.08494814032062,347.7293802830484,0.10952467723411763,4.0
29,layer-1,cosmos,2023,1.8796844747568628,347.7293802830484,0.005405595791839095,5.0
54,layer-1,tezos,2023,0.16557452964940692,347.7293802830484,0.00047615916007623756,6.0
44,layer-1,fantom,2023,0.10732022911451713,347.7293802830484,0.0003086314680317191,7.0
4,layer-1,algorand,2023,0.05593148742994921,347.7293802830484,0.0001608477471314662,8.0
24,layer-1,cardano,2023,0.04914364097127315,347.7293802830484,0.00014132726124916652,9.0
49,layer-1,hedera-hashgraph,2023,0.010688250571959124,347.7293802830484,3.073726632837004e-05,10.0
