category_id,coin_id,year,variable,value
layer-1,bitcoin,2019,ranking_estabilidad,0.0
layer-1,bitcoin-cash,2019,ranking_estabilidad,1.0
layer-1,ethereum,2019,ranking_estabilidad,2.0
layer-1,binancecoin,2019,ranking_estabilidad,3.0
layer-1,cosmos,2019,ranking_estabilidad,4.0
layer-1,algorand,2019,ranking_estabilidad,5.0
layer-1,tezos,2019,ranking_estabilidad,6.0
layer-1,crypto-com-chain,2019,ranking_estabilidad,7.0
layer-1,cardano,2019,ranking_estabilidad,8.0
layer-1,hedera-hashgraph,2019,ranking_estabilidad,9.0
layer-1,fantom,2019,ranking_estabilidad,10.0
layer-1,bitcoin,2020,ranking_estabilidad,0.0
layer-1,ethereum,2020,ranking_estabilidad,1.0
layer-1,bitcoin-cash,2020,ranking_estabilidad,2.0
layer-1,binancecoin,2020,ranking_estabilidad,3.0
layer-1,cosmos,2020,ranking_estabilidad,4.0
layer-1,tezos,2020,ranking_estabilidad,5.0
layer-1,algorand,2020,ranking_estabilidad,6.0
layer-1,crypto-com-chain,2020,ranking_estabilidad,7.0
layer-1,cardano,2020,ranking_estabilidad,8.0
layer-1,fantom,2020,ranking_estabilidad,9.0
layer-1,hedera-hashgraph,2020,ranking_estabilidad,10.0
layer-1,bitcoin,2021,ranking_estabilidad,0.0
layer-1,ethereum,2021,ranking_estabilidad,1.0
layer-1,bitcoin-cash,2021,ranking_estabilidad,2.0
layer-1,binancecoin,2021,ranking_estabilidad,3.0
layer-1,cosmos,2021,ranking_estabilidad,4.0
layer-1,tezos,2021,ranking_estabilidad,5.0
layer-1,fantom,2021,ranking_estabilidad,6.0
layer-1,cardano,2021,ranking_estabilidad,7.0
layer-1,algorand,2021,ranking_estabilidad,8.0
layer-1,crypto-com-chain,2021,ranking_estabilidad,9.0
layer-1,hedera-hashgraph,2021,ranking_estabilidad,10.0
layer-1,bitcoin,2022,ranking_estabilidad,0.0
layer-1,ethereum,2022,ranking_estabilidad,1.0
layer-1,bitcoin-cash,2022,ranking_estabilidad,2.0
layer-1,binancecoin,2022,ranking_estabilidad,3.0
layer-1,cosmos,2022,ranking_estabilidad,4.0
layer-1,tezos,2022,ranking_estabilidad,5.0
layer-1,fantom,2022,ranking_estabilidad,6.0
layer-1,algorand,2022,ranking_estabilidad,7.0
layer-1,cardano,2022,ranking_estabilidad,8.0
layer-1,crypto-com-chain,2022,ranking_estabilidad,9.0
layer-1,hedera-hashgraph,2022,ranking_estabilidad,10.0
layer-1,bitcoin,2023,ranking_estabilidad,0.0
layer-1,ethereum,2023,ranking_estabilidad,1.0
layer-1,bitcoin-cash,2023,ranking_estabilidad,2.0
layer-1,binancecoin,2023,ranking_estabilidad,3.0
layer-1,cosmos,2023,ranking_estabilidad,4.0
layer-1,tezos,2023,ranking_estabilidad,5.0
layer-1,fantom,2023,ranking_estabilidad,6.0
layer-1,algorand,2023,ranking_estabilidad,7.0
layer-1,cardano,2023,ranking_estabilidad,8.0
layer-1,hedera-hashgraph,2023,ranking_estabilidad,9.0
layer-1,crypto-com-chain,2023,ranking_estabilidad,10.0
stablecoins,pax-gold,2019,ranking_estabilidad,0.0
stablecoins,stasis-eurs,2019,ranking_estabilidad,1.11
stablecoins,dai,2019,ranking_estabilidad,2.22
stablecoins,gemini-dollar,2019,ranking_estabilidad,3.33
stablecoins,true-usd,2019,ranking_estabilidad,4.44
stablecoins,usd-coin,2019,ranking_estabilidad,5.56
stablecoins,paxos-standard,2019,ranking_estabilidad,6.67
stablecoins,tether,2019,ranking_estabilidad,7.78
stablecoins,binance-usd,2019,ranking_estabilidad,8.89
stablecoins,bilira,2019,ranking_estabilidad,10.0
stablecoins,pax-gold,2020,ranking_estabilidad,0.0
stablecoins,stasis-eurs,2020,ranking_estabilidad,1.11
stablecoins,bilira,2020,ranking_estabilidad,2.22
stablecoins,gemini-dollar,2020,ranking_estabilidad,3.33
stablecoins,dai,2020,ranking_estabilidad,4.44
stablecoins,paxos-standard,2020,ranking_estabilidad,5.56
stablecoins,binance-usd,2020,ranking_estabilidad,6.67
stablecoins,true-usd,2020,ranking_estabilidad,7.78
stablecoins,tether,2020,ranking_estabilidad,8.89
stablecoins,usd-coin,2020,ranking_estabilidad,10.0
stablecoins,pax-gold,2021,ranking_estabilidad,0.0
stablecoins,stasis-eurs,2021,ranking_estabilidad,1.11
stablecoins,bilira,2021,ranking_estabilidad,2.22
stablecoins,gemini-dollar,2021,ranking_estabilidad,3.33
stablecoins,true-usd,2021,ranking_estabilidad,4.44
stablecoins,binance-usd,2021,ranking_estabilidad,5.56
stablecoins,paxos-standard,2021,ranking_estabilidad,6.67
stablecoins,usd-coin,2021,ranking_estabilidad,7.78
stablecoins,dai,2021,ranking_estabilidad,8.89
stablecoins,tether,2021,ranking_estabilidad,10.0
stablecoins,pax-gold,2022,ranking_estabilidad,0.0
