,category_id,coin_id,relstblty_index
18,stablecoins,tether,0.9111111111111112
12,stablecoins,binance-usd,0.7333333333333334
20,stablecoins,usd-coin,0.6888888888888889
19,stablecoins,true-usd,0.6444444444444445
13,stablecoins,dai,0.6222222222222222
16,stablecoins,paxos-standard,0.5777777777777777
11,stablecoins,bilira,0.37777777777777777
14,stablecoins,gemini-dollar,0.3333333333333333
17,stablecoins,stasis-eurs,0.11111111111111112
15,stablecoins,pax-gold,0.0
9,layer-1,hedera-hashgraph,0.9600000000000001
6,layer-1,crypto-com-chain,0.8400000000000001
4,layer-1,cardano,0.7800000000000001
8,layer-1,fantom,0.74
0,layer-1,algorand,0.66
10,layer-1,tezos,0.52
5,layer-1,cosmos,0.4000000000000001
1,layer-1,binancecoin,0.3
3,layer-1,bitcoin-cash,0.18000000000000005
7,layer-1,ethereum,0.12000000000000002
2,layer-1,bitcoin,0.0
