category_id,coin_id,year,observaciones
layer-1,algorand,2019,194
layer-1,algorand,2020,366
layer-1,algorand,2021,365
layer-1,algorand,2022,365
layer-1,algorand,2023,244
layer-1,binancecoin,2019,365
layer-1,binancecoin,2020,366
layer-1,binancecoin,2021,365
layer-1,binancecoin,2022,365
layer-1,binancecoin,2023,244
layer-1,bitcoin,2019,365
layer-1,bitcoin,2020,366
layer-1,bitcoin,2021,365
layer-1,bitcoin,2022,365
layer-1,bitcoin,2023,244
layer-1,bitcoin-cash,2019,365
layer-1,bitcoin-cash,2020,366
layer-1,bitcoin-cash,2021,365
layer-1,bitcoin-cash,2022,365
layer-1,bitcoin-cash,2023,244
layer-1,cardano,2019,365
layer-1,cardano,2020,366
layer-1,cardano,2021,365
layer-1,cardano,2022,365
layer-1,cardano,2023,244
layer-1,cosmos,2019,311
layer-1,cosmos,2020,366
layer-1,cosmos,2021,365
layer-1,cosmos,2022,365
layer-1,cosmos,2023,244
layer-1,crypto-com-chain,2019,364
layer-1,crypto-com-chain,2020,366
layer-1,crypto-com-chain,2021,365
layer-1,crypto-com-chain,2022,365
layer-1,crypto-com-chain,2023,244
layer-1,ethereum,2019,365
layer-1,ethereum,2020,366
layer-1,ethereum,2021,365
layer-1,ethereum,2022,365
layer-1,ethereum,2023,244
layer-1,fantom,2019,365
layer-1,fantom,2020,366
layer-1,fantom,2021,365
layer-1,fantom,2022,365
layer-1,fantom,2023,244
layer-1,hedera-hashgraph,2019,105
layer-1,hedera-hashgraph,2020,366
layer-1,hedera-hashgraph,2021,365
layer-1,hedera-hashgraph,2022,365
layer-1,hedera-hashgraph,2023,244
layer-1,tezos,2019,365
layer-1,tezos,2020,366
layer-1,tezos,2021,365
layer-1,tezos,2022,365
layer-1,tezos,2023,244
stablecoins,bilira,2019,7
stablecoins,bilira,2020,348
stablecoins,bilira,2021,365
stablecoins,bilira,2022,365
stablecoins,bilira,2023,244
stablecoins,binance-usd,2019,102
stablecoins,binance-usd,2020,366
stablecoins,binance-usd,2021,365
stablecoins,binance-usd,2022,365
stablecoins,binance-usd,2023,244
stablecoins,dai,2019,43
stablecoins,dai,2020,366
stablecoins,dai,2021,365
stablecoins,dai,2022,365
stablecoins,dai,2023,244
stablecoins,gemini-dollar,2019,365
stablecoins,gemini-dollar,2020,366
stablecoins,gemini-dollar,2021,365
stablecoins,gemini-dollar,2022,365
stablecoins,gemini-dollar,2023,244
stablecoins,pax-gold,2019,107
stablecoins,pax-gold,2020,366
stablecoins,pax-gold,2021,365
stablecoins,pax-gold,2022,365
stablecoins,pax-gold,2023,244
stablecoins,paxos-standard,2019,365
stablecoins,paxos-standard,2020,366
stablecoins,paxos-standard,2021,365
stablecoins,paxos-standard,2022,365
stablecoins,paxos-standard,2023,244
stablecoins,stasis-eurs,2019,365
stablecoins,stasis-eurs,2020,366
stablecoins,stasis-eurs,2021,365
stablecoins,stasis-eurs,2022,365
stablecoins,stasis-eurs,2023,244
stablecoins,tether,2019,364
stablecoins,tether,2020,366
stablecoins,tether,2021,365
stablecoins,tether,2022,365
stablecoins,tether,2023,244
stablecoins,true-usd,2019,365
stablecoins,true-usd,2020,366
stablecoins,true-usd,2021,365
stablecoins,true-usd,2022,365
stablecoins,true-usd,2023,244
stablecoins,usd-coin,2019,365
stablecoins,usd-coin,2020,366
stablecoins,usd-coin,2021,365
stablecoins,usd-coin,2022,365
stablecoins,usd-coin,2023,244
