category_id,coin_id,observaciones
layer-1,algorand,1534
layer-1,binancecoin,1705
layer-1,bitcoin,1705
layer-1,bitcoin-cash,1705
layer-1,cardano,1705
layer-1,cosmos,1651
layer-1,crypto-com-chain,1704
layer-1,ethereum,1705
layer-1,fantom,1705
layer-1,hedera-hashgraph,1445
layer-1,tezos,1705
stablecoins,bilira,1329
stablecoins,binance-usd,1442
stablecoins,dai,1383
stablecoins,gemini-dollar,1705
stablecoins,pax-gold,1447
stablecoins,paxos-standard,1705
stablecoins,stasis-eurs,1705
stablecoins,tether,1704
stablecoins,true-usd,1705
stablecoins,usd-coin,1705
